objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,test001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,IMG_0736.jpeg + IMG_0737.jpeg,,,Slugs,Matt Bodett,2025,a collage combining fine line drawings and colorful lettering and graphics,,,,,,,Image,Image/jpeg,eng,Ewing Gallery,
coll003,IMG_0745.jpeg + IMG0746.jpeg,,,Carousel,Elizabeth James,2010,A long image containing different sized and colored x-ray images of skulls,,,,,,,Image,Image/jpeg,eng,Ewing Gallery,
coll004,IMG_0747.jpeg + IMG_0748.jpeg,,,Kaleidoscope,Elizabeth James,2010,a collection of 3 images featuring MRI's of an artists brain,,,,,,,Image,Image/jpeg,eng,Ewing Gallery,
coll005,IMG_0735.jpeg + IMG_0734.jpeg,,,Citrus Corners,David Johnson,2012,"8 black rocks that are all different sizes made by cast plaster, paint, and plexiglas",,,,,,,sculpture,Image/jpeg,eng,Ewing Gallery,
coll006,IMG_0744.jpeg,,,Transient Objects Caught in a Multi-Dimentional Moment of Imposible Pringles,David Johnson,2020,a 3d printed white sculture that looks like a glob of glue,,,,,,,sculpture,Image/jpeg,eng,Ewing Gallery,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
